pub_date	title	venue	excerpt	citation	url_slug	paper_url	ppt_path
2024/7/19	Improved Naive Bayes with Mislabeled Data	Statistics and Its Interface	 	"Zeng, Q., Zhu, Y.*, Zhu, X., Wang, F., Zhao, W., Sun, S., Su, M., and Wang, H. (2024), ""Improved Naive Bayes with Mislabeled Data,""  Statistics and Its Interface, 17(3):323-336."	INB	https://dx.doi.org/10.4310/22-SII757	/files/INB_PPT.pdf
2024/3/25	A Semiparametric Gaussian Mixture Model for Chest CT-based 3D Blood Vessel Reconstruction 	Biostatistics		"Zeng, Q., Zhou, J.*, Ji, Y., Wang, H. (2024), A Semiparametric Gaussian Mixture Model for Chest CT Based 3D Blood Vessel Reconstruction. Biostatistics, kxae013."	KEM	https://doi.org/10.1093/biostatistics/kxae013	
