title	type	url_slug	venue	date	location	talk_url	description
Talk on Improved Naive Bayes with Mislabeled Data	Talk	talk-INB	Clubear	2022/11/26	Online	https://www.bilibili.com/video/BV1mS421A7Ho/?share_source=copy_web&vd_source=47589a897f88b176db158225dfea15c0	"This is an online sharing of the article ""Improved Naive Bayes with Mislabeled Data"" published on SII."
Talk on A Semiparametric Gaussian Mixture Model forChest CT Based 3D Blood Vessel Reconstruction	Talk	talk-KEM	Clubear	2024/7/5	Online	https://www.bilibili.com/video/BV1hH4y1w7aS/?share_source=copy_web&vd_source=47589a897f88b176db158225dfea15c0	"This is an online sharing of the article ""A Semiparametric Gaussian Mixture Model for
Chest CT Based 3D Blood Vessel Reconstruction"" published on Biostatistics."
